sp,iucn_name,ncity,nsite,ny
armadillo,NA,8,189,4457
black_bear,NA,7,38,95
bobcat,NA,23,387,2671
california_ground_squirrel,NA,2,60,1475
cape_ground_squirrel,NA,1,12,62
cape_grysbok,NA,1,6,51
cape_porcupine,NA,1,16,162
cougar,NA,6,134,367
coyote,NA,34,1528,34873
coypu,NA,8,25,80
culpeo,NA,1,16,109
domestic_cat,NA,39,1657,25292
douglas_squirrel,NA,4,58,861
eastern_chipmunk,NA,16,396,7632
elk,NA,6,95,633
european_badger,NA,2,33,248
european_hedgehog,NA,2,205,963
european_red_squirrel,NA,3,194,1272
fisher,NA,4,50,338
flying_squirrel_sp,NA,13,138,559
fox_squirrel,NA,20,808,43529
gray_fox,NA,24,296,3556
gray_squirrel_sp,NA,26,1082,112860
hare_rabbit,NA,36,1155,51115
harris_antelope_squirrel,NA,1,18,742
javelina,NA,2,29,308
kit_fox,NA,1,7,198
least_chipmunk,NA,2,9,57
moose,NA,4,255,806
mule_deer,NA,10,943,12441
muskrat,NA,17,65,224
north_american_badger,NA,7,55,158
north_american_beaver,NA,23,113,488
north_american_mink,NA,18,189,628
north_american_porcupine,NA,7,118,584
north_american_red_squirrel,NA,8,72,1454
north_american_river_otter,NA,15,34,74
raccoon,NA,37,2024,99588
rat,NA,19,152,1340
red_fox,NA,30,1299,23859
richardson_ground_squirrel,NA,2,8,190
ringtail,NA,4,13,80
rock_squirrel,NA,5,155,1216
roe_deer,NA,3,20,498
round_tailed_ground_squirrel,NA,1,8,59
sambar_deer,NA,1,4,64
stone_marten,NA,2,38,612
striped_skunk,NA,32,697,5344
thirteen_lined_ground_squirrel,NA,3,8,52
uinta_ground_squirrel,NA,1,21,70
virginia_opossum,NA,29,1130,36226
weasel_sp,NA,15,70,141
western_chipmunk,NA,2,12,243
white_tailed_deer,NA,28,1054,90122
wild_boar,NA,5,24,232
woodchuck,NA,20,307,2926
