sp,sci_name
armadillo,Dasypus novemcinctus
black_bear,Ursus americanus
bobcat,Lynx rufus
california_ground_squirrel,Otospermophilus beecheyi
cape_ground_squirrel,Xerus inauris
cape_grysbok,Raphicerus melanotis
cape_porcupine,Hystrix africaeaustralis
cougar,Puma concolor
coyote,Canis latrans
coypu,Myocastor coypus
domestic_cat,
douglas_squirrel,Tamiasciurus douglasii
eastern_chipmunk,Tamias striatus
elk,Cervus canadensis
european_badger,Meles meles
european_hedgehog,Erinaceus europaeus
european_red_squirrel,Sciurus vulgaris
fisher,Martes pennanti
flying_squirrel_sp,Glaucomys volans
flying_squirrel_sp,Glaucomys sabrinus
fox_squirrel,Sciurus niger
gray_fox,Urocyon cinereoargenteus
gray_squirrel_sp,Sciurus griseus
gray_squirrel_sp,Sciurus carolinensis
hare_rabbit,Sylvilagus graysoni
hare_rabbit,Sylvilagus insonus
hare_rabbit,Sylvilagus dicei
hare_rabbit,Sylvilagus mansuetus
hare_rabbit,Sylvilagus cunicularius
hare_rabbit,Sylvilagus transitionalis
hare_rabbit,Sylvilagus aquaticus
hare_rabbit,Sylvilagus audubonii
hare_rabbit,Sylvilagus floridanus
hare_rabbit,Sylvilagus nuttallii
hare_rabbit,Sylvilagus obscurus
hare_rabbit,Sylvilagus bachmani
hare_rabbit,Sylvilagus palustris
hare_rabbit,Sylvilagus cognatus
hare_rabbit,Sylvilagus robustus
hare_rabbit,Sylvilagus varynaensis
hare_rabbit,Sylvilagus brasiliensis
hare_rabbit,Sylvilagus gabbi
hare_rabbit,Sylvilagus tapetillus
hare_rabbit,Lepus flavigularis
hare_rabbit,Lepus timidus
hare_rabbit,Lepus callotis
hare_rabbit,Lepus hainanus
hare_rabbit,Lepus insularis
hare_rabbit,Lepus othus
hare_rabbit,Lepus yarkandensis
hare_rabbit,Lepus castroviejoi
hare_rabbit,Lepus fagani
hare_rabbit,Lepus alleni
hare_rabbit,Lepus americanus
hare_rabbit,Lepus arcticus
hare_rabbit,Lepus brachyurus
hare_rabbit,Lepus californicus
hare_rabbit,Lepus capensis
hare_rabbit,Lepus comus
hare_rabbit,Lepus coreanus
hare_rabbit,Lepus europaeus
hare_rabbit,Lepus mandshuricus
hare_rabbit,Lepus nigricollis
hare_rabbit,Lepus oiostolus
hare_rabbit,Lepus peguensis
hare_rabbit,Lepus saxatilis
hare_rabbit,Lepus sinensis
hare_rabbit,Lepus starcki
hare_rabbit,Lepus townsendii
hare_rabbit,Lepus habessinicus
hare_rabbit,Lepus corsicanus
hare_rabbit,Lepus granatensis
hare_rabbit,Lepus tibetanus
hare_rabbit,Lepus tolai
hare_rabbit,Lepus victoriae
harris_antelope_squirrel,Ammospermophilus harrisii
javelina,Pecari tajacu
kit_fox,Vulpes macrotis
least_chipmunk,Neotamias minimus
moose,Alces alces
mule_deer,Odocoileus hemionus
muskrat,Ondatra zibethicus
north_american_badger,Taxidea taxus
north_american_beaver,Castor canadensis
north_american_mink,Neogale vison
north_american_porcupine,Erethizon dorsatum
north_american_red_squirrel,Tamiasciurus hudsonicus
north_american_river_otter,Lontra canadensis
raccoon,Procyon lotor
rat,Rattus rattus
rat,Rattus norvegicus
red_fox,Vulpes vulpes
richardson_ground_squirrel,Urocitellus richardsonii
ringtail,Bassariscus astutus
rock_squirrel,Otospermophilus variegatus
roe_deer,Capreolus capreolus
round_tailed_ground_squirrel,Xerospermophilus tereticaudus
sambar_deer,Rusa unicolor
stone_marten,Martes foina
striped_skunk,Mephitis mephitis
thirteen_lined_ground_squirrel,Ictidomys tridecemlineatus
uinta_ground_squirrel,Urocitellus armatus
virginia_opossum,Didelphis virginiana
weasel_sp,Mustela lutreolina
weasel_sp,Mustela nigripes
weasel_sp,Mustela strigidorsa
weasel_sp,Mustela erminea
weasel_sp,Mustela eversmanii
weasel_sp,Mustela altaica
weasel_sp,Mustela kathiah
weasel_sp,Mustela itatsi
weasel_sp,Mustela nudipes
weasel_sp,Mustela putorius
weasel_sp,Mustela sibirica
weasel_sp,Mustela subpalmata
weasel_sp,Mustela nivalis
weasel_sp,Mustela russelliana
weasel_sp,Mustela tonkinensis
western_chipmunk,Neotamias townsendii
white_tailed_deer,Odocoileus virginianus
wild_boar,Sus scrofa
woodchuck,Marmota monax
