General Project,Contact Person's Last Name,Site Name,Country,Timezone,Easting,Northing,UTM zone,General Sampling Period Name,General Sampling Period Name,Photo Date,Photo Time,Class,Order,Family,Genus,Species,Number of Animals,Camera Start Date and Time,Camera End Date and Time,Camera Make,Camera Model,Flash (Yes or No),Baited_unbaited,Bait type (if applicable),Photos per trigger,Species Diet Description,Common Name
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,8/28/2021,6:51:02,Mammalia,Carnivora,Felidae,Felis,catus,1,3/29/2021,9/1/2021,RECONYX,PC800 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/17/2018,9:06:19,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/17/2018,9:06:20,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/17/2018,9:06:21,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,UWIN Season Spring 4,Season Spring 4,4/29/2021,8:41:13,Mammalia,Carnivora,Felidae,Felis,catus,1,12/3/2020,6/1/2021,RECONYX,HF2 PRO COVERT,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,UWIN Season Spring 4,Season Spring 4,4/29/2021,8:41:16,Mammalia,Carnivora,Felidae,Felis,catus,1,12/3/2020,6/1/2021,RECONYX,HF2 PRO COVERT,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,UWIN Season Spring 4,Season Spring 4,4/29/2021,8:41:16,Mammalia,Carnivora,Felidae,Felis,catus,1,12/3/2020,6/1/2021,RECONYX,HF2 PRO COVERT,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,UWIN Season Spring 3,Season Spring 3,4/19/2020,6:38:36,Mammalia,Carnivora,Felidae,Felis,catus,1,12/11/2019,5/29/2020,RECONYX,HF2 PRO COVERT,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,UWIN Season Spring 3,Season Spring 3,4/19/2020,6:38:38,Mammalia,Carnivora,Felidae,Felis,catus,1,12/11/2019,5/29/2020,RECONYX,HF2 PRO COVERT,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,UWIN Season Spring 3,Season Spring 3,4/19/2020,6:38:38,Mammalia,Carnivora,Felidae,Felis,catus,1,12/11/2019,5/29/2020,RECONYX,HF2 PRO COVERT,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,6/21/2021,8:11:39,Mammalia,Carnivora,Felidae,Felis,catus,1,3/30/2021,9/2/2021,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,6/21/2021,8:11:41,Mammalia,Carnivora,Felidae,Felis,catus,1,3/30/2021,9/2/2021,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,6/21/2021,8:11:42,Mammalia,Carnivora,Felidae,Felis,catus,1,3/30/2021,9/2/2021,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
