locationid,latitude,longitude,season,timestamp,species,campaign_start,campaign_end
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/3/2019 17:40,Homo sapiens,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/3/2019 21:38,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/3/2019 21:48,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/3/2019 23:51,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/4/2019 0:35,Sylvilagus floridanus,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/7/2019 7:02,Sylvilagus floridanus,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/8/2019 16:52,Canis familiaris,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/17/2019 10:13,Homo sapiens,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/17/2019 10:33,Homo sapiens,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/17/2019 21:46,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/18/2019 21:30,Procyon lotor,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/18/2019 21:57,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/19/2019 5:16,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/19/2019 5:37,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/24/2019 1:11,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/27/2019 4:36,Didelphis virginiana,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/27/2019 8:15,Sylvilagus floridanus,3/25/2019,5/7/2019
SEWA_N01_DSP1,47.6598,-122.41942,Spring19,4/28/2019 1:30,Didelphis virginiana,3/25/2019,5/7/2019
