system:index,city,mean,site,unique_id,.geo
00000000000000000000,ahga,0.7409023062868432,ALIB,1,"{""type"":""Polygon"",""coordinates"":[[[-83.40401602408558,33.95371835306397],[-83.4070461944774,33.95336016108268],[-83.40983509178069,33.95231410585165],[-83.41216067057563,33.95066347656563],[-83.4138378032816,33.948539693838164],[-83.41473301989808,33.9461118390925],[-83.41477512291755,33.94357318684257],[-83.41396083537296,33.94112581465286],[-83.41235503845593,33.93896451750443],[-83.41008558704017,33.9372613070619],[-83.40733312200985,33.93615172815391],[-83.40431669357625,33.935724078989],[-83.40127633923515,33.936012390188964],[-83.39845399868142,33.936993719148546],[-83.3960742780266,33.93858997409434],[-83.39432658743688,33.94067412332441],[-83.39335006895651,33.943080297513674],[-83.39322251273796,33.945616983877656],[-83.39395414645563,33.948082264758355],[-83.39548679802935,33.95027988946177],[-83.39769850552963,33.95203490028394],[-83.4004132137471,33.953207567500506],[-83.40341478920709,33.9537045214869],[-83.40401602408558,33.95371835306397]]]}"
00000000000000000001,ahga,0.6846988969943024,ARPT,2,"{""type"":""Polygon"",""coordinates"":[[[-83.33914502196004,33.955488616182194],[-83.34217525539324,33.95513042419842],[-83.3449642107136,33.95408436896075],[-83.34728983787876,33.95243373966597],[-83.34896700545687,33.95030995693037],[-83.34986224067417,33.947882102179754],[-83.34990434454795,33.94534344992958],[-83.34909004004963,33.942896077744415],[-83.34748420972593,33.940734780603904],[-83.34521471111273,33.93903157017019],[-83.34246218885038,33.93792199126916],[-83.33944569770186,33.9374943421072],[-83.33640528014887,33.93778265330516],[-83.33358288091164,33.93876398225843],[-83.33120311076834,33.94036023719555],[-83.32945538382307,33.94244438641733],[-83.32847884501625,33.94485056060122],[-83.32835128612352,33.947387246964475],[-83.32908293503864,33.94985252784928],[-83.3306156184775,33.952050152560375],[-83.33282737197737,33.95380516339141],[-83.33554213666704,33.954977830615235],[-83.33854377457294,33.95547478460502],[-83.33914502196004,33.955488616182194]]]}"
00000000000000000002,ahga,0.5835886031786601,ATCH,3,"{""type"":""Polygon"",""coordinates"":[[[-83.32637861564403,34.01339004336119],[-83.32941091406671,34.0130318512964],[-83.33220176979835,34.011985795840914],[-83.3345289813829,34.01033516625954],[-83.33620729123575,34.00821138325803],[-83.33710313574336,34.00578352834515],[-83.33714526760049,34.003244876086995],[-83.3363304077644,34.000797504050595],[-83.33472348316982,33.998636207169206],[-83.3324524385524,33.99693299702406],[-83.3296980415931,33.99582341835106],[-83.32667949614888,33.9953957692854],[-83.32363700802226,33.99568408041792],[-83.32081268654326,33.996665409164414],[-83.31843129535093,33.99826166381793],[-83.31668237754019,34.00034581276777],[-83.31570517291844,34.00275198677624],[-83.3155775264301,34.00528867311533],[-83.3163096731542,34.00775395413479],[-83.31784340037005,34.00995157909736],[-83.3200566606368,34.011706590218175],[-83.32277327513509,34.012879257679685],[-83.32577695852427,34.01337621178083],[-83.32637861564403,34.01339004336119]]]}"
00000000000000000003,ahga,0.6595511724591097,ATECH,4,"{""type"":""Polygon"",""coordinates"":[[[-83.3425205614575,33.9997496532387],[-83.34555237287877,33.99939146119301],[-83.34834278042266,33.998345405788854],[-83.35066961834212,33.99669477627503],[-83.35234765880404,33.9945709933362],[-83.3532433596183,33.992143138461564],[-83.35328548487588,33.98960448620529],[-83.35247075600913,33.98715711413383],[-83.35086408948438,33.984995817191354],[-83.34859340947231,33.9832926069782],[-83.34583945463639,33.98218302825146],[-83.34282139367161,33.9817553791631],[-83.33977939386337,33.98204369031103],[-83.33695552572057,33.983025019106265],[-83.33457451683198,33.98462127382664],[-83.33282587987166,33.98670542284057],[-83.33184883227386,33.98911159689038],[-83.33172120644383,33.99164828323517],[-83.33245323576601,33.99411356422289],[-83.33398671682036,33.99631118912619],[-83.33619962173537,33.99806620017871],[-83.33891579997993,33.999238867584175],[-83.34191900096796,33.99973582165909],[-83.3425205614575,33.9997496532387]]]}"
00000000000000000004,ahga,0.7612693385099588,BARN,5,"{""type"":""Polygon"",""coordinates"":[[[-83.40408291060137,33.96570441669566],[-83.40711350794047,33.96534622469759],[-83.40990279816366,33.964300169421506],[-83.41222870454551,33.962649540076185],[-83.4139060734227,33.9605257572937],[-83.4148014160131,33.95809790251448],[-83.41484352481827,33.95555925026289],[-83.41402912245472,33.95311187810396],[-83.4124230992915,33.95095058100914],[-83.41015332823137,33.94924737062631],[-83.40740047559773,33.94813779176549],[-83.40438362242787,33.94771014262051],[-83.40134283998493,33.947998453806925],[-83.39852010199778,33.94897978272374],[-83.39614004618267,33.95057603761085],[-83.39439210937533,33.95266018678467],[-83.39341545323427,33.955066360937636],[-83.39328787890487,33.95760304729662],[-83.39401961554712,33.96006832820518],[-83.39555248292714,33.962265952960614],[-83.39776450195927,33.96402096384275],[-83.40047959263427,33.965193631108484],[-83.40348159100853,33.96569058511791],[-83.40408291060137,33.96570441669566]]]}"
00000000000000000005,ahga,0.6243611303826199,BBPK,6,"{""type"":""Polygon"",""coordinates"":[[[-83.43771345074646,33.96627072252943],[-83.4407440682638,33.96591253053058],[-83.44353337705704,33.96486647525236],[-83.4458592989212,33.96321584590424],[-83.44753667896023,33.96109206311916],[-83.44843202750438,33.95866420833834],[-83.44847413658299,33.95612555608668],[-83.4476597287929,33.9536781839292],[-83.44605369493691,33.95151688683691],[-83.44378390876983,33.949813676456905],[-83.44103103781742,33.948704097598316],[-83.43801416457381,33.94827644845428],[-83.43497336189806,33.94856475964006],[-83.43215060512752,33.94954608855485],[-83.42977053347218,33.95114234343918],[-83.42802258502819,33.95322649261035],[-83.42704592238105,33.955632666761595],[-83.42691834719571,33.958169353120354],[-83.42765008870234,33.96063463403022],[-83.42918296628173,33.962832258788126],[-83.43139500003738,33.96458726967308],[-83.43411010878795,33.96575993694114],[-83.43711212714987,33.96625689095166],[-83.43771345074646,33.96627072252943]]]}"
00000000000000000006,ahga,0.6979388637260688,BHVN,7,"{""type"":""Polygon"",""coordinates"":[[[-83.41721942230483,33.959662334768225],[-83.42024980439149,33.95930414277862],[-83.4230388965177,33.958258087525245],[-83.42536463774127,33.956607458209824],[-83.4270418875489,33.95448367545507],[-83.42793716662747,33.95205582069277],[-83.4279792725157,33.949517168442014],[-83.42716492804,33.94706979626757],[-83.42555901894248,33.94490849914572],[-83.42328940903627,33.94320528873279],[-83.42053675181917,33.942095709848196],[-83.41752011278703,33.94166806069317],[-83.41447954617861,33.94195637188641],[-83.41165700856399,33.94293770082479],[-83.40927712172541,33.944533955741484],[-83.4075293090527,33.94661810494367],[-83.40655272231552,33.94902427911493],[-83.40642515711701,33.95156096547644],[-83.40715684186814,33.954026246370944],[-83.4086896004459,33.95622387110015],[-83.41090146241417,33.957978881952066],[-83.41361636026696,33.95915154919301],[-83.4166181454221,33.95964850319082],[-83.41721942230483,33.959662334768225]]]}"
00000000000000000007,ahga,0.6472035548604766,CSHS,8,"{""type"":""Polygon"",""coordinates"":[[[-83.32846547493703,33.927744089427655],[-83.33149472098505,33.92738589748268],[-83.3342827676141,33.92633984234925],[-83.33660763718109,33.924689213191655],[-83.33828425857477,33.922565430583354],[-83.33917920245686,33.920137575910424],[-83.33922129295028,33.917598923664066],[-83.33840725398957,33.91515155140767],[-83.33680194689705,33.912990254143125],[-83.33453318751357,33.91128704357127],[-83.33178156164705,33.91017746456111],[-83.32876605277036,33.90974981535304],[-83.32572662527262,33.91003812658232],[-83.322905145165,33.91101945563458],[-83.32052615013448,33.91261571070746],[-83.31877899260759,33.9146998600594],[-83.31780277216357,33.91710603432727],[-83.31767525515517,33.919642720702086],[-83.31840666604043,33.92210800152243],[-83.31993885039205,33.92430562611316],[-83.32214988342372,33.92606063680547],[-83.32486376361801,33.92723330391553],[-83.3278644234657,33.927730257852005],[-83.32846547493703,33.927744089427655]]]}"
00000000000000000008,ahga,0.6765661519971387,CVMD,9,"{""type"":""Polygon"",""coordinates"":[[[-83.35069409368846,33.9297997350133],[-83.35372341284732,33.929441543065444],[-83.35651152676031,33.9283954879243],[-83.3588364524236,33.92674485875655],[-83.36051311425945,33.92462107613883],[-83.36140807971343,33.92219322146013],[-83.36145017119759,33.919654569213485],[-83.36063611257518,33.91720719696237],[-83.35903076674006,33.91504589970702],[-83.35676195262039,33.91334268914539],[-83.35401026038032,33.912233110143305],[-83.35099467877141,33.91180546093866],[-83.34795517796512,33.91209377216562],[-83.34513362980064,33.91307510121054],[-83.34275457737698,33.91467135627337],[-83.34100737768755,33.916755505615676],[-83.34003113367038,33.91916167987733],[-83.33990361356065,33.92169836625128],[-83.34063504207083,33.9241636470764],[-83.34216726337729,33.926361271676036],[-83.34437834975598,33.92811628237862],[-83.34709229544265,33.929288949497106],[-83.35009302771056,33.92978590343754],[-83.35069409368846,33.9297997350133]]]}"
00000000000000000009,ahga,0.7107461712131763,DCKR,10,"{""type"":""Polygon"",""coordinates"":[[[-83.38977811442192,33.946021944645736],[-83.3928080107986,33.9456637526752],[-83.3955966559256,33.9446176974731],[-83.39792202447497,33.94296706822514],[-83.39959900560605,33.94084328553299],[-83.40049414137238,33.93841543080889],[-83.40053624067858,33.935876778560015],[-83.3997220268249,33.93342940635054],[-83.39811637511285,33.931268109167696],[-83.39584712884513,33.929564898686834],[-83.39309491257893,33.92845531974856],[-83.39007875674143,33.928027670570856],[-83.38703867715643,33.92831598177951],[-83.38421659167581,33.92929731076657],[-83.38183708612715,33.93089356575002],[-83.3800895535601,33.93297771501622],[-83.37911312343047,33.93538388922878],[-83.3789855788355,33.93792057559597],[-83.37971714649608,33.94038585645878],[-83.38124965956514,33.94258348112879],[-83.38346116712401,33.94433849191248],[-83.38617562987992,33.945511159097485],[-83.38917693391316,33.94600811306908],[-83.38977811442192,33.946021944645736]]]}"
