Species,final_sp,omit
american_hog_nosed_skunk,american_hog_nosed_skunk,no
antelope_ground_squirrel,antelope_ground_squirrel,no
armadillo,armadillo,no
black_bear,black_bear,no
black_rat,rat,no
black_tailed_prairie_dog,black_tailed_prairie_dog,no
bobcat,bobcat,no
bottas_pocket_gopher,bottas_pocket_gopher,no
brown_rat,rat,no
california_ground_squirrel,california_ground_squirrel,no
cottontail_sp,hare_rabbit,no
cougar,cougar,no
coyote,coyote,no
domestic_cat,domestic_cat,no
domestic_dog,domestic_dog,yes
douglas_squirrel,douglas_squirrel,no
eastern_chipmunk,eastern_chipmunk,no
eastern_spotted_skunk,eastern_spotted_skunk,no
elk,elk,no
european_hare,hare_rabbit,no
european_polecat,european_polecat,no
european_rabbit,hare_rabbit,no
fisher,fisher,no
flying_squirrel_sp,flying_squirrel_sp,no
fox_squirrel,fox_squirrel,no
gray_fox,gray_fox,no
gray_squirrel_sp,gray_squirrel_sp,no
harris_antelope_squirrel,harris_antelope_squirrel,no
hooded_skunk,hooded_skunk,no
jackrabbit_sp,hare_rabbit,no
javelina,javelina,no
kit_fox,kit_fox,no
least_chipmunk,least_chipmunk,no
lynx,lynx,no
merriams_chipmunk,merriams_chipmunk,no
moose,moose,no
mountain_beaver,mountain_beaver,no
mountain_goat,mountain_goat,no
mule_deer,mule_deer,no
muskrat,muskrat,no
north_american_badger,north_american_badger,no
north_american_beaver,north_american_beaver,no
north_american_mink,north_american_mink,no
north_american_porcupine,north_american_porcupine,no
north_american_river_otter,north_american_river_otter,no
northern_pocket_gopher,northern_pocket_gopher,no
nutria,coypu,no
raccoon,raccoon,no
red_fox,red_fox,no
red_squirrel,north_american_red_squirrel,no
richardson_ground_squirrel,richardson_ground_squirrel,no
ringtail,ringtail,no
rock_squirrel,rock_squirrel,no
roe_deer,roe_deer,no
round_tailed_ground_squirrel,round_tailed_ground_squirrel,no
stone_marten,stone_marten,no
striped_skunk,striped_skunk,no
swamp_rabbit,hare_rabbit,no
thirteen_lined_ground_squirrel,thirteen_lined_ground_squirrel,no
virginia_opossum,virginia_opossum,no
weasel_sp,weasel_sp,no
western_chipmunk,western_chipmunk,no
white_tailed_deer,white_tailed_deer,no
wild_boar,wild_boar,no
wild_turkey,wild_turkey,yes
woodchuck,woodchuck,no
yellow_bellied_marmot,yellow_bellied_marmot,no
